attributes,setup,keygen,and_encrypt,or_encrypt,and_decrypt,or_decrypt
1,0.00821571699998458,0.039969348999875365,0.02627089529996738,0.02590706510018208,0.003138172599938116,0.0033187730998179175
5,0.00821571699998458,0.10818465699776425,0.11658959109990974,0.07768637539993506,0.003254127000036533,0.0029215395003120647
10,0.00821571699998458,0.17719001400109846,0.22123971629989683,0.14274557319986342,0.0033900618000188842,0.002970858100161422
15,0.00821571699998458,0.2507554789990536,0.33042754640009664,0.20584732559982513,0.003353791799963801,0.0029405843000859023
20,0.00821571699998458,0.32272143599766423,0.4390988794002624,0.2722013419999712,0.0034734850996755995,0.0031117642000026537
25,0.00821571699998458,0.397849878998386,0.5490727012998832,0.3366051206998236,0.0035563524997996865,0.0029739939000137383
30,0.00821571699998458,0.4685963109986915,0.6607145545000094,0.3984285867998551,0.003668968700003461,0.0029929513002571184
35,0.00821571699998458,0.543927053000516,0.7692336529002205,0.4639344692001032,0.0038451528998848516,0.0029982585001562256
40,0.00821571699998458,0.6175404789973982,0.8833462430997315,0.5281232843000907,0.003958229899944854,0.0030551158997695893
45,0.00821571699998458,0.6969183979999798,0.9934411686001112,0.5941270768998947,0.004210553800294292,0.0030341356999997516
50,0.00821571699998458,0.7807673759998579,1.1013789541997538,0.6743520254000032,0.004222540399860008,0.003064271100083715