attributes,setup,keygen,delegate,and encrypt,or encrypt,and decrypt,or decrypt
1,0.0092296,0.0064012,0.0065524,0.013052,0.012986,0.012548,0.012541
5,0.0092296,0.020271,0.026504,0.026942,0.027077,0.0522,0.012505
10,0.0092296,0.037645,0.051934,0.044723,0.044367,0.10275,0.012601
15,0.0092296,0.054977,0.076712,0.062486,0.06149,0.15251,0.012553
20,0.0092296,0.072401,0.10222,0.079332,0.079765,0.20187,0.012644
25,0.0092296,0.089459,0.12705,0.096751,0.09717,0.25285,0.012677
30,0.0092296,0.10823,0.15226,0.11514,0.11473,0.30119,0.012745
35,0.0092296,0.12497,0.17711,0.13265,0.13332,0.35028,0.012743
40,0.0092296,0.14143,0.20479,0.1522,0.15014,0.40107,0.01282
45,0.0092296,0.15945,0.22662,0.16881,0.16994,0.4498,0.012753
50,0.0092296,0.17738,0.25351,0.18586,0.1869,0.50609,0.012854